barometric_pressure,moon_phase,tide_phase,time_of_day,weather,wind_direction,wind_scale,success
25.47,WG,High,Daytime,Clear,SW,4,0
26.15,LQ,High,Daytime,Cloudy,NW,5,1
21.22,FQ,High,Night,Clear,SE,6,0
1.97,WC,High,Night,Cloudy,N,3,1
22.89,WG,Low,Night,Rain,E,3,0
2.22,FM,Low,Daytime,Clear,SW,6,0
16.06,FM,High,Night,Cloudy,S,7,1
16.77,FM,High,Night,Clear,W,2,0
10.07,FQ,High,Daytime,Clear,N,4,1
17.32,NM,Low,Night,Rain,E,3,1
19.73,WC,High,Night,Rain,NW,8,0
22.6,NM,High,Daytime,Rain,SW,3,0
7.86,FM,High,Night,Clear,SE,4,1
14.4,LQ,Low,Daytime,Cloudy,SE,8,0
4.54,FQ,High,Night,Clear,N,1,1
29.47,WG,Low,Night,Cloudy,SW,8,0
10.93,NM,High,Daytime,Clear,SE,3,0
20.83,FQ,Low,Night,Rain,S,2,0
3.87,FQ,Low,Night,Rain,N,2,1
20.65,LQ,Low,Daytime,Clear,SW,3,1
4.48,WC,High,Night,Rain,N,3,0
22.34,WC,Low,Daytime,Rain,SW,2,0
19.83,FM,High,Night,Clear,NE,7,1
14.44,NM,Low,Daytime,Clear,N,6,1
18.16,WC,Low,Night,Rain,W,3,1
28.86,FM,Low,Night,Clear,NE,3,1
20.96,LQ,Low,Daytime,Cloudy,SE,1,0
7.45,WC,Low,Night,Cloudy,NE,7,0
8.16,WC,High,Night,Cloudy,N,6,1
2.69,FQ,Low,Night,Rain,N,1,0
26.63,FQ,Low,Daytime,Rain,E,3,0
21.38,WG,High,Night,Rain,SE,6,0
3.92,NM,High,Daytime,Cloudy,SW,7,0
15.17,WC,Low,Night,Rain,S,2,1
28.57,FM,Low,Night,Clear,W,7,1
4.01,WG,Low,Daytime,Clear,NW,8,1
10.27,WG,Low,Night,Rain,N,5,1
17.15,WC,High,Daytime,Cloudy,SW,5,0
7.86,WG,Low,Night,Clear,N,5,1
3.33,WC,High,Night,Rain,W,1,1
27.03,WG,Low,Night,Clear,N,6,1
26.34,NM,Low,Night,Cloudy,N,7,1
15.14,NM,Low,Daytime,Rain,E,7,1
17.82,FQ,Low,Night,Rain,NE,4,1
28.58,LQ,Low,Night,Rain,SE,8,1
17.97,WC,High,Daytime,Clear,S,8,0
3.36,FM,Low,Daytime,Rain,S,2,0
27.09,WG,High,Daytime,Cloudy,N,6,0
6.0,WC,High,Night,Rain,NW,4,0
23.99,WG,High,Night,Rain,SE,6,0
24.11,WC,Low,Night,Rain,N,6,1
11.16,NM,High,Daytime,Rain,NE,6,1
22.42,LQ,High,Daytime,Cloudy,NW,3,1
7.79,WG,High,Daytime,Rain,NE,4,0
4.34,WG,Low,Daytime,Cloudy,W,3,1
16.44,WC,Low,Daytime,Clear,W,3,0
17.38,FM,High,Night,Cloudy,W,3,0
4.85,WG,Low,Daytime,Cloudy,SW,3,0
4.68,NM,High,Night,Cloudy,SW,7,1
26.55,FQ,Low,Daytime,Clear,NE,8,1
11.78,WC,Low,Night,Rain,SE,4,0
13.91,WG,High,Night,Cloudy,SW,7,1
19.56,LQ,Low,Night,Rain,S,4,0
10.59,NM,High,Daytime,Rain,E,7,1
29.63,WC,High,Night,Clear,N,8,1
21.89,WC,Low,Night,Cloudy,NE,4,1
26.24,WC,Low,Daytime,Cloudy,NW,4,1
1.93,WC,Low,Daytime,Cloudy,W,2,0
16.79,WG,Low,Night,Clear,NE,5,1
27.33,FM,High,Night,Rain,NW,1,1
1.54,FM,Low,Night,Cloudy,NW,7,1
5.35,NM,Low,Night,Clear,NE,1,1
6.36,FM,High,Night,Clear,NE,6,0
21.32,WC,High,Night,Rain,SE,1,1
17.77,WG,Low,Night,Cloudy,SE,3,1
6.36,WC,Low,Daytime,Rain,SW,7,1
12.26,NM,Low,Daytime,Cloudy,S,5,1
14.63,FQ,Low,Night,Cloudy,N,3,0
6.01,WC,Low,Night,Rain,N,4,0
3.57,FQ,High,Night,Clear,S,8,1
27.51,FQ,High,Daytime,Clear,SW,2,0
28.21,WC,High,Night,Clear,NE,4,0
27.37,WG,High,Daytime,Rain,NW,5,1
20.54,FM,Low,Night,Rain,NE,1,1
24.53,FM,Low,Night,Clear,E,4,0
11.39,FM,Low,Night,Clear,E,5,1
3.08,WG,High,Daytime,Clear,W,5,1
13.33,WG,High,Night,Rain,SW,2,0
17.54,FM,Low,Night,Cloudy,E,3,0
19.93,WG,Low,Night,Cloudy,SE,7,1
24.04,LQ,High,Night,Cloudy,N,7,1
27.94,LQ,Low,Night,Cloudy,W,4,0
26.61,WC,Low,Night,Clear,SW,8,1
3.75,FQ,High,Night,Clear,E,2,1
24.57,WC,High,Daytime,Cloudy,SE,7,0
7.79,WC,Low,Night,Rain,E,5,1
3.7,NM,High,Daytime,Cloudy,S,2,0
6.05,WC,High,Night,Rain,SW,1,1
9.4,WC,Low,Daytime,Cloudy,NW,3,1
28.27,WC,Low,Night,Rain,SE,7,1
25.94,FQ,Low,Daytime,Rain,SW,3,0
16.3,FQ,Low,Daytime,Cloudy,NE,4,0
20.05,WC,High,Night,Cloudy,SW,2,0
11.44,WG,High,Night,Rain,W,2,1
16.39,WC,High,Daytime,Cloudy,E,5,0
22.03,FM,Low,Night,Cloudy,N,1,0
8.27,NM,Low,Daytime,Cloudy,SE,4,1
5.97,WC,High,Daytime,Rain,SW,5,1
25.09,NM,High,Night,Rain,SW,5,0
28.54,WC,Low,Daytime,Rain,SW,1,0
29.65,WG,Low,Daytime,Cloudy,E,4,0
11.85,WG,Low,Night,Cloudy,E,3,0
24.52,FM,Low,Daytime,Clear,W,3,1
28.59,NM,Low,Night,Clear,W,4,0
22.57,WG,Low,Night,Cloudy,W,7,0
7.49,NM,High,Daytime,Rain,N,3,0
24.4,WG,Low,Night,Cloudy,N,2,0
27.81,FM,Low,Daytime,Clear,S,5,1
22.51,LQ,High,Night,Cloudy,NW,6,1
1.98,WC,Low,Night,Rain,NW,5,1
2.06,WG,Low,Daytime,Rain,S,8,1
20.92,WC,High,Daytime,Clear,N,1,0
5.3,LQ,High,Daytime,Rain,N,8,1
12.46,WG,High,Night,Cloudy,N,4,1
9.99,WG,Low,Night,Rain,N,1,1
3.71,NM,High,Night,Cloudy,E,8,1
3.62,FQ,Low,Night,Clear,S,1,0
19.29,WC,Low,Daytime,Clear,W,7,1
5.45,FM,High,Daytime,Rain,E,5,1
29.26,WG,High,Daytime,Clear,SW,2,1
8.71,WG,High,Daytime,Clear,N,4,1
22.36,WC,Low,Night,Clear,NW,2,1
6.84,LQ,High,Night,Rain,NE,3,1
1.01,WG,Low,Daytime,Clear,SW,1,1
29.59,NM,Low,Night,Clear,SE,3,1
15.28,FQ,Low,Daytime,Clear,W,7,1
22.1,WC,Low,Night,Cloudy,SW,6,0
26.9,WC,High,Daytime,Clear,N,2,1
25.81,WG,High,Night,Rain,SW,4,1
4.63,LQ,Low,Daytime,Clear,SE,2,0
7.19,NM,High,Night,Cloudy,NE,4,0
28.36,FM,High,Daytime,Rain,SE,8,0
27.01,WG,Low,Night,Rain,SW,5,0
21.95,WC,High,Daytime,Rain,E,2,0
7.8,WC,Low,Night,Rain,E,3,0
6.05,WC,High,Night,Rain,E,3,0
24.24,WC,High,Night,Cloudy,SW,4,1
5.75,NM,Low,Daytime,Clear,W,6,0
22.78,LQ,High,Daytime,Clear,E,6,1
3.05,WG,High,Night,Clear,NW,6,0
15.18,WC,High,Daytime,Clear,N,6,1
2.53,NM,High,Night,Rain,NE,7,1
27.75,WG,High,Night,Rain,E,3,0
4.83,WG,High,Daytime,Clear,NE,4,1
20.95,WG,High,Daytime,Clear,NE,1,1
7.1,WG,High,Daytime,Cloudy,W,3,1
24.14,NM,High,Night,Rain,N,6,1
8.93,NM,High,Daytime,Cloudy,N,6,1
7.84,WC,High,Night,Rain,SW,4,1
1.47,WG,High,Night,Clear,S,4,0
27.19,WC,High,Daytime,Cloudy,SW,4,0
23.23,WG,High,Daytime,Clear,E,8,1
23.36,WC,Low,Daytime,Rain,NE,5,1
3.29,NM,High,Daytime,Rain,SE,8,1
5.51,LQ,Low,Night,Rain,NE,6,1
5.19,LQ,Low,Daytime,Rain,SW,4,1
17.39,LQ,Low,Daytime,Cloudy,NE,6,1
20.86,WC,High,Daytime,Clear,S,1,0
29.64,WC,Low,Night,Clear,NW,5,0
23.41,WC,High,Daytime,Rain,N,3,0
2.79,NM,Low,Night,Clear,SE,3,0
17.41,WC,Low,Night,Clear,NW,8,1
24.44,WG,Low,Night,Rain,W,1,1
6.67,NM,Low,Daytime,Cloudy,NE,4,1
14.75,LQ,Low,Daytime,Cloudy,W,2,0
22.82,FM,Low,Night,Cloudy,W,7,1
28.77,FM,High,Night,Clear,W,5,0
21.42,FQ,High,Daytime,Cloudy,NE,3,0
10.14,WG,Low,Night,Cloudy,NE,1,0
10.13,NM,High,Daytime,Rain,NW,5,0
7.87,WC,High,Night,Clear,N,3,0
3.72,WC,High,Night,Rain,W,7,0
28.85,NM,High,Night,Cloudy,SW,3,0
9.14,WG,High,Daytime,Clear,SE,6,1
24.25,LQ,High,Night,Cloudy,S,5,1
2.37,FM,Low,Daytime,Clear,NW,3,0
4.66,FQ,High,Daytime,Rain,S,5,0
29.63,LQ,High,Daytime,Cloudy,SE,7,1
28.86,WC,High,Daytime,Rain,NW,8,1
4.84,FQ,High,Night,Rain,NE,5,1
4.58,FQ,High,Night,Rain,SW,1,1
24.55,WC,Low,Night,Cloudy,NW,2,1
13.67,FQ,Low,Night,Rain,W,7,0
28.12,FM,Low,Night,Clear,NE,7,0
14.13,WG,Low,Daytime,Cloudy,E,8,0
21.33,WG,High,Daytime,Rain,SE,2,0
8.01,WC,High,Daytime,Cloudy,N,1,1
6.7,LQ,Low,Night,Rain,NE,7,0
21.58,FM,High,Daytime,Cloudy,N,3,0
7.12,WC,High,Night,Clear,W,1,0
10.13,WC,High,Night,Rain,W,8,0
7.47,WG,High,Night,Rain,E,3,1
5.15,FM,Low,Daytime,Clear,S,6,1
8.8,WG,High,Night,Cloudy,SW,2,1
10.5,LQ,High,Daytime,Cloudy,N,6,0
3.59,WC,High,Daytime,Clear,S,8,0
21.83,WG,High,Night,Rain,SE,4,1
15.0,LQ,High,Daytime,Clear,SW,1,0
26.85,WG,High,Daytime,Cloudy,NE,4,0
27.82,FQ,High,Daytime,Rain,S,4,1
14.5,LQ,Low,Night,Cloudy,E,5,1
8.72,NM,High,Daytime,Cloudy,N,4,1
16.8,FQ,Low,Night,Cloudy,W,1,0
24.75,FM,High,Daytime,Rain,W,4,1
6.6,LQ,High,Daytime,Cloudy,NW,6,1
24.59,NM,High,Daytime,Clear,N,7,1
27.48,FQ,High,Daytime,Cloudy,SE,3,1
5.5,WC,Low,Daytime,Rain,SE,7,0
25.25,WG,High,Night,Rain,NE,2,0
20.51,WC,Low,Daytime,Rain,SE,6,0
24.53,LQ,High,Daytime,Clear,SW,2,1
17.49,WG,High,Night,Clear,SW,4,0
12.72,WG,High,Night,Cloudy,NW,7,0
27.22,WC,Low,Night,Cloudy,S,7,0
6.9,FQ,High,Daytime,Rain,W,1,1
9.93,WG,Low,Night,Cloudy,E,3,0
24.81,FM,High,Night,Cloudy,E,3,0
13.19,WC,Low,Night,Cloudy,N,4,0
21.67,WC,Low,Daytime,Rain,NW,4,1
28.59,FM,Low,Daytime,Clear,S,6,1
10.41,WG,Low,Night,Rain,W,2,0
24.66,WG,High,Daytime,Rain,SE,2,0
20.55,NM,High,Night,Clear,SW,7,0
9.48,FQ,Low,Daytime,Rain,N,8,1
13.9,WC,High,Daytime,Cloudy,N,8,0
18.95,NM,High,Night,Rain,NW,5,1
27.82,WG,High,Daytime,Clear,E,3,1
24.94,LQ,High,Night,Clear,SE,4,1
29.19,WG,High,Daytime,Clear,SW,5,0
24.44,WG,High,Daytime,Clear,NE,5,1
2.18,WG,Low,Daytime,Clear,NW,6,1
6.88,WC,High,Daytime,Cloudy,S,5,0
6.46,FQ,Low,Daytime,Rain,SE,3,1
24.14,FQ,High,Daytime,Clear,N,5,0
6.63,LQ,Low,Night,Rain,NE,1,1
23.04,WG,High,Daytime,Cloudy,S,4,1
17.65,WG,Low,Daytime,Clear,SE,7,0
7.58,WG,Low,Daytime,Clear,W,2,1
9.25,FQ,Low,Night,Rain,NW,6,0
3.76,LQ,High,Daytime,Rain,W,8,0
22.64,WC,High,Night,Cloudy,W,1,0
24.22,WC,Low,Night,Rain,N,5,0
7.74,LQ,High,Daytime,Clear,S,6,1
18.1,FQ,Low,Night,Cloudy,NW,2,1
6.42,WG,High,Daytime,Cloudy,SW,1,0
16.85,WC,High,Daytime,Rain,NW,7,0
27.42,FM,Low,Night,Clear,NE,8,1
9.15,FQ,Low,Night,Cloudy,SE,5,1
13.5,WC,High,Night,Rain,S,8,1
4.05,NM,High,Night,Clear,SW,2,1
20.17,LQ,High,Night,Rain,NW,6,0
11.49,LQ,Low,Daytime,Clear,W,5,1
6.57,WC,Low,Daytime,Rain,E,3,1
23.56,WG,Low,Night,Cloudy,SE,8,1
24.29,FQ,High,Night,Cloudy,E,2,1
1.2,NM,High,Night,Cloudy,NW,2,0
1.54,WG,Low,Night,Clear,N,7,0
1.63,FQ,Low,Night,Rain,E,6,1
3.28,FQ,High,Daytime,Cloudy,SE,1,0
23.53,FM,Low,Daytime,Cloudy,S,6,0
24.26,NM,High,Night,Rain,S,2,1
3.67,LQ,Low,Night,Clear,NE,5,1
9.21,FQ,High,Night,Clear,E,5,0
22.91,NM,Low,Night,Clear,SW,6,1
9.04,WC,High,Daytime,Cloudy,SW,4,0
1.97,LQ,High,Night,Cloudy,W,6,1
1.73,NM,Low,Daytime,Rain,S,2,0
10.88,FQ,High,Night,Cloudy,S,7,0
15.5,WG,Low,Daytime,Cloudy,NE,5,1
16.78,WG,Low,Night,Rain,W,6,1
25.8,NM,Low,Daytime,Cloudy,S,2,0
8.8,NM,Low,Night,Clear,SE,1,1
26.24,FM,Low,Daytime,Clear,SE,5,0
18.6,WC,High,Night,Cloudy,S,8,0
4.5,NM,Low,Daytime,Clear,E,4,0
6.32,WG,Low,Night,Cloudy,NE,7,1
15.31,WC,Low,Daytime,Rain,NE,7,0
21.79,WC,High,Daytime,Rain,E,4,1
10.52,FM,Low,Night,Cloudy,E,7,1
25.3,WC,High,Night,Cloudy,SW,4,1
21.39,NM,Low,Night,Clear,W,7,1
17.75,FQ,Low,Daytime,Cloudy,E,3,1
9.2,WC,Low,Night,Rain,E,6,0
26.04,NM,High,Daytime,Cloudy,NE,8,0
10.54,LQ,Low,Night,Cloudy,N,2,0
19.47,FQ,Low,Daytime,Clear,SE,5,1
23.04,WG,Low,Daytime,Cloudy,SW,6,0
15.91,NM,High,Night,Cloudy,N,1,0
26.94,FM,High,Daytime,Clear,W,3,0
24.71,FQ,Low,Daytime,Rain,E,6,0
29.7,WC,High,Night,Cloudy,NW,6,1
19.69,WG,Low,Night,Rain,NW,6,0
19.16,LQ,High,Daytime,Rain,W,6,1
5.57,WC,High,Night,Clear,S,1,0
28.5,WC,High,Night,Cloudy,NW,2,1
16.58,FM,Low,Daytime,Rain,N,2,1
16.4,WG,Low,Daytime,Cloudy,E,5,0
9.23,WC,High,Night,Rain,SE,7,1
15.67,NM,High,Night,Rain,NW,2,1
16.51,LQ,Low,Night,Cloudy,NW,3,1
23.83,FQ,High,Daytime,Rain,S,2,1
17.63,WG,Low,Daytime,Clear,N,7,1
12.41,LQ,Low,Daytime,Rain,E,3,0
27.02,WG,High,Night,Cloudy,N,6,1
19.91,WG,High,Daytime,Clear,SW,4,0
15.34,FM,High,Daytime,Cloudy,W,2,1
29.41,LQ,High,Daytime,Clear,NW,1,0
6.68,FQ,Low,Daytime,Rain,W,3,1
5.5,WC,Low,Night,Cloudy,SE,3,1
5.66,WC,High,Daytime,Rain,NW,3,0
13.7,FQ,Low,Night,Rain,N,6,1
23.3,FQ,Low,Night,Rain,SW,1,0
2.39,WC,High,Night,Clear,SE,1,0
12.4,FQ,High,Daytime,Cloudy,E,5,0
29.39,FQ,High,Night,Rain,E,6,0
6.87,WG,High,Night,Clear,N,8,1
9.86,FQ,Low,Night,Rain,N,6,0
3.63,LQ,Low,Daytime,Clear,W,4,1
9.63,WC,High,Night,Rain,SW,8,1
20.13,WG,Low,Night,Clear,S,8,0
29.26,WG,Low,Daytime,Clear,S,8,1
14.01,WG,Low,Daytime,Clear,SW,4,1
9.08,NM,Low,Daytime,Rain,NE,4,1
24.72,WG,Low,Daytime,Rain,NE,1,1
15.4,NM,High,Night,Cloudy,SW,5,0
15.0,WC,Low,Daytime,Rain,N,5,0
25.47,FM,Low,Daytime,Clear,SW,8,1
8.44,WC,High,Night,Cloudy,S,6,1
26.43,FM,High,Night,Rain,S,7,0
20.6,WC,Low,Night,Cloudy,E,3,0
15.15,FQ,High,Night,Cloudy,NE,1,1
20.14,LQ,High,Night,Rain,NE,7,1
12.64,NM,Low,Night,Cloudy,NW,1,1
8.67,FM,Low,Daytime,Rain,NE,2,0
20.99,NM,Low,Daytime,Rain,E,7,0
22.54,FM,Low,Daytime,Rain,E,6,0
10.38,WG,High,Daytime,Cloudy,S,7,0
27.74,WC,High,Night,Cloudy,SE,3,1
24.72,LQ,Low,Night,Clear,E,5,0
8.11,NM,Low,Daytime,Cloudy,NE,4,1
27.31,FQ,High,Night,Cloudy,N,2,0
22.46,FM,Low,Daytime,Rain,NW,5,0
6.2,FQ,Low,Daytime,Cloudy,W,5,0
22.12,WG,High,Night,Rain,N,6,0
27.8,WG,High,Daytime,Clear,NE,4,0
14.36,FM,High,Night,Rain,W,5,0
27.31,NM,Low,Daytime,Cloudy,W,4,0
29.31,WC,Low,Night,Rain,N,1,0
11.72,WC,High,Daytime,Clear,W,3,1
10.42,FQ,Low,Daytime,Cloudy,SE,1,0
20.97,FQ,High,Daytime,Cloudy,W,6,1
27.36,NM,High,Night,Clear,E,7,0
27.86,FQ,High,Daytime,Clear,NW,5,0
19.86,WG,High,Night,Clear,NW,3,1
11.18,FM,High,Night,Cloudy,NW,4,1
17.98,WC,High,Daytime,Rain,SW,1,0
25.52,WG,Low,Night,Cloudy,N,2,0
26.78,WC,High,Daytime,Clear,SE,6,1
2.55,FQ,High,Night,Cloudy,SE,2,1
26.45,NM,Low,Daytime,Clear,SW,8,1
15.84,WG,High,Daytime,Clear,NE,7,0
13.09,WC,Low,Daytime,Clear,W,8,0
16.9,WG,Low,Daytime,Clear,NW,1,0
15.6,WC,Low,Night,Cloudy,SW,2,1
13.6,WG,High,Daytime,Cloudy,W,4,0
9.85,WC,High,Daytime,Rain,NW,6,0
7.9,FQ,High,Night,Rain,S,3,0
27.99,FQ,High,Night,Cloudy,NE,4,0
26.82,LQ,Low,Daytime,Clear,E,5,1
16.27,FQ,Low,Night,Cloudy,NW,7,1
5.23,WG,High,Daytime,Cloudy,W,4,0
25.61,WG,Low,Night,Clear,E,6,1
4.41,WG,Low,Daytime,Rain,NW,1,1
27.75,WG,Low,Night,Clear,SE,7,0
26.48,FQ,Low,Daytime,Clear,N,3,0
29.46,WG,High,Night,Clear,S,1,0
7.85,FQ,High,Daytime,Rain,NW,4,0
1.94,WC,Low,Daytime,Rain,NE,2,1
19.18,LQ,Low,Daytime,Rain,SE,7,1
13.76,LQ,Low,Night,Cloudy,W,6,1
29.92,WG,High,Daytime,Cloudy,S,4,1
29.46,WC,Low,Night,Rain,W,6,0
28.47,WG,High,Daytime,Rain,SW,3,1
18.76,WG,Low,Daytime,Cloudy,W,2,1
28.14,NM,High,Daytime,Rain,N,8,0
24.73,FM,Low,Daytime,Cloudy,NE,6,1
17.67,WG,Low,Daytime,Rain,W,7,0
16.34,WC,Low,Daytime,Rain,S,8,0
24.8,LQ,High,Night,Cloudy,NE,3,1
14.47,WG,Low,Daytime,Cloudy,E,2,1
17.72,NM,High,Daytime,Cloudy,E,5,0
17.66,FQ,High,Night,Cloudy,W,7,0
2.24,WG,High,Daytime,Rain,E,5,0
25.4,WC,High,Daytime,Cloudy,SE,1,1
3.82,LQ,High,Night,Rain,E,5,0
12.19,WG,Low,Night,Cloudy,SE,4,0
22.07,FM,High,Night,Rain,E,3,0
4.98,WG,High,Daytime,Cloudy,E,2,1
28.2,WC,High,Daytime,Cloudy,NE,4,0
21.2,WC,High,Daytime,Clear,SW,4,1
6.0,FM,High,Daytime,Rain,E,4,0
20.19,WG,Low,Daytime,Rain,SE,1,0
24.02,WC,Low,Night,Rain,N,5,0
2.3,WC,Low,Daytime,Clear,E,7,0
19.85,WC,High,Night,Cloudy,SW,3,1
9.26,FQ,High,Night,Rain,N,1,0
6.39,NM,High,Daytime,Clear,S,2,0
16.99,WC,Low,Daytime,Cloudy,N,3,0
18.24,LQ,High,Night,Rain,E,7,1
27.15,WC,Low,Daytime,Rain,S,2,0
11.49,WG,High,Daytime,Cloudy,E,8,1
3.05,NM,Low,Night,Clear,SW,5,0
23.49,NM,High,Night,Clear,SW,8,1
4.4,FM,High,Daytime,Rain,NW,5,0
25.2,FM,High,Daytime,Clear,SE,6,1
28.68,WG,Low,Daytime,Rain,N,1,0
23.77,WC,High,Night,Clear,W,8,1
22.2,WG,Low,Night,Clear,E,2,1
3.15,WC,High,Night,Clear,NW,4,1
25.61,FM,High,Daytime,Cloudy,S,4,0
9.04,WG,Low,Night,Clear,E,6,1
22.74,WG,Low,Daytime,Rain,SW,2,0
14.18,WG,Low,Night,Cloudy,S,4,1
25.1,LQ,High,Night,Clear,N,5,1
13.54,WC,Low,Daytime,Rain,S,4,1
26.82,FQ,Low,Night,Clear,SE,1,1
27.86,WC,Low,Daytime,Clear,S,1,0
8.52,WC,High,Night,Cloudy,N,7,1
4.67,WG,Low,Daytime,Clear,E,5,1
15.56,LQ,Low,Daytime,Rain,NW,5,0
11.13,WG,Low,Night,Clear,NW,5,1
7.55,WG,Low,Night,Cloudy,E,6,0
14.43,WG,Low,Daytime,Cloudy,N,4,1
12.77,FQ,High,Night,Cloudy,NE,4,1
9.58,LQ,Low,Night,Clear,NE,2,0
2.99,WG,High,Night,Rain,S,4,1
2.11,NM,Low,Night,Rain,SW,8,0
26.53,FQ,High,Daytime,Cloudy,NW,5,0
3.63,WC,Low,Daytime,Cloudy,N,4,1
12.34,WC,High,Daytime,Cloudy,S,6,0
11.29,WG,Low,Daytime,Clear,NE,6,1
4.69,LQ,High,Night,Clear,SW,5,1
2.94,FM,Low,Daytime,Cloudy,N,6,0
12.61,WG,High,Night,Rain,W,8,1
25.32,WG,High,Daytime,Clear,NW,6,0
19.75,WC,High,Daytime,Clear,SE,8,0
12.13,WC,High,Daytime,Cloudy,W,1,1
27.29,WG,Low,Night,Clear,NE,5,0
21.71,WG,High,Night,Clear,S,7,0
26.35,LQ,High,Night,Clear,NE,3,1
24.16,WC,High,Night,Clear,S,8,1
13.24,NM,High,Daytime,Rain,SW,4,1
5.32,LQ,Low,Daytime,Cloudy,S,8,1
29.72,FQ,Low,Daytime,Rain,NW,7,1
13.02,FM,High,Daytime,Rain,W,8,0
9.18,LQ,High,Night,Cloudy,NW,3,0
13.95,LQ,High,Daytime,Cloudy,S,5,0
4.21,WG,Low,Daytime,Rain,E,2,0
25.24,WG,Low,Night,Rain,NW,1,0
19.54,NM,Low,Night,Clear,SW,8,1
22.39,FQ,High,Night,Cloudy,W,5,1
19.31,WC,Low,Night,Cloudy,S,4,0
20.69,FM,Low,Daytime,Clear,W,8,0
27.68,WG,High,Night,Cloudy,SW,1,1
10.6,LQ,High,Night,Rain,NW,8,1
16.75,WG,High,Daytime,Rain,NW,5,1
14.57,NM,High,Night,Clear,S,2,0
5.4,FQ,Low,Night,Cloudy,S,6,1
18.51,WC,High,Night,Clear,E,5,1
23.79,FQ,Low,Night,Cloudy,NE,3,0
21.12,FM,Low,Daytime,Cloudy,E,1,1
3.83,FQ,High,Daytime,Clear,NW,1,0
23.73,WC,Low,Daytime,Rain,W,1,1
10.56,FQ,Low,Daytime,Cloudy,SW,2,0
3.53,NM,High,Night,Rain,W,3,0
22.18,WG,Low,Daytime,Clear,SE,8,1
3.34,WC,High,Night,Clear,E,3,0
24.79,WG,Low,Daytime,Clear,NW,2,1
2.01,WG,High,Night,Cloudy,NW,4,1
18.99,FM,High,Daytime,Rain,W,2,0
20.44,WC,Low,Night,Clear,E,7,1
6.69,WG,High,Daytime,Rain,N,4,1
24.59,NM,Low,Daytime,Rain,NE,8,1
15.15,WC,High,Daytime,Cloudy,NW,4,1
22.92,WC,Low,Daytime,Clear,N,1,1
28.83,WC,Low,Night,Rain,NW,3,1
10.37,FM,Low,Daytime,Clear,NW,7,1
16.73,WG,Low,Night,Cloudy,E,6,1
7.45,FM,High,Daytime,Cloudy,NW,1,0
